date,plot_id,sex,weight_grams,species,is_scale_calibrated
7/16/13,2,F,NA,DM,TRUE
7/16/13,7,M,33,DM,TRUE
7/16/13,3,M,NA,DM,TRUE
7/16/13,1,M,NA,DM,TRUE
7/18/13,3,M,40,DM,TRUE
7/18/13,7,M,48,DM,TRUE
7/18/13,4,F,29,DM,TRUE
7/18/13,6,F,37,DM,TRUE
8/19/13,8,F,52,DO,TRUE
10/17/13,3,F,33,DO,TRUE
10/17/13,3,F,50,DO,TRUE
12/10/13,9,F,40,DO,TRUE
12/10/13,1,M,45,DO,TRUE
12/11/13,8,F,41,DO,TRUE
11/12/13,9,F,117,DS,TRUE
11/13/13,11,F,126,DS,TRUE
11/13/13,17,M,132,DS,FALSE
11/13/13,14,F,113,DS,FALSE
11/13/13,11,F,122,DS,TRUE
11/13/13,4,F,107,DS,TRUE
11/13/13,4,F,115,DS,TRUE
1/9/14,1,M,40,DM,TRUE
1/9/14,1,F,36,DM,TRUE
3/13/14,1,F,51,DM,TRUE
3/13/14,1,F,44,DM,TRUE
3/13/14,1,F,146,DS,TRUE
1/8/14,2,NA,NA,NA,TRUE
1/8/14,2,M,44,DM,TRUE
1/8/14,2,F,7,PF,TRUE
1/8/14,2,M,45,DM,TRUE
1/8/14,2,NA,NA,OT,TRUE
1/8/14,2,M,157,DS,FALSE
1/8/14,2,NA,NA,OX,TRUE
2/18/14,2,M,218,NA,FALSE
2/18/14,2,F,7,PF,TRUE
2/18/14,2,M,52,DM,TRUE
3/11/14,3,M,8,PF,TRUE
4/8/14,3,F,NA,NA,TRUE
5/6/14,3,NA,NA,NA,TRUE
5/18/14,3,F,182,NA,TRUE
6/9/14,3,F,29,OT,TRUE
7/8/14,3,F,115,NA,TRUE
7/8/14,3,M,190,NA,TRUE
1/8/14,4,F,37,DM,TRUE
1/8/14,4,M,NA,DM,TRUE
1/8/14,4,F,48,DM,TRUE
1/8/14,4,M,52,DO,TRUE
1/8/14,4,M,35,OL,TRUE
